Id hecho,Vehículo_víctima,Sexo,Edad_víctima,Gravedad
LC-2019-0016388,Sd,F,SD,Sd
LC-2019-0016581,Sd,M,58,Sd
LC-2019-0016613,Sd,M,42,Sd
LC-2019-0017068,Sd,M,58,Sd
LC-2019-0017068,Sd,F,58,Sd
LC-2019-0017068,Sd,F,43,Sd
LC-2019-0017068,Sd,F,24,Sd
LC-2019-0017182,Sd,M,33,Sd
LC-2019-0017186,Sd,M,24,Sd
LC-2019-0017460,Sd,M,35,Sd
LC-2019-0017504,Sd,M,SD,Sd
LC-2019-0017514,Sd,M,70,Sd
LC-2019-0017561,Sd,M,38,Sd
LC-2019-0018006,Sd,M,24,Sd
LC-2019-0018207,Sd,F,33,Sd
LC-2019-0018425,Sd,M,38,Sd
LC-2019-0018474,Sd,M,58,Sd
LC-2019-0018500,Sd,M,34,Sd
LC-2019-0018518,Sd,M,41,Sd
LC-2019-0018592,Sd,F,SD,Sd
LC-2019-0018630,Sd,F,SD,Sd
LC-2019-0018751,Sd,M,43,Sd
LC-2019-0021352,Sd,M,18,Sd
LC-2019-0022439,Sd,M,40,Sd
LC-2019-0030754,Sd,M,31,Sd
LC-2019-0031883,Sd,F,55,Sd
LC-2019-0018873,Sd,M,49,Sd
LC-2019-0019243,Sd,M,29,Sd
LC-2019-0020257,Sd,F,42,Sd
LC-2019-0020260,Sd,M,26,Sd
LC-2019-0020420,Sd,SD,SD,Sd
LC-2019-0020451,Sd,M,54,Sd
LC-2019-0020496,Sd,F,62,Sd
LC-2019-0020569,Sd,M,24,Sd
LC-2019-0020951,Sd,M,12,Sd
LC-2019-0020989,Sd,M,33,Sd
LC-2019-0021079,Sd,M,34,Sd
LC-2019-0021335,Sd,M,39,Sd
LC-2019-0021415,Sd,M,31,Sd
LC-2019-0093543,Sd,M,36,Sd
LC-2019-0021365,Sd,M,42,Sd
LC-2019-0021365,Sd,F,28,Sd
LC-2019-0021434,Sd,M,24,Sd
LC-2019-0021709,Sd,M,60,Sd
LC-2019-0021896,Sd,M,SD,Sd
LC-2019-0022026,Sd,M,SD,Sd
LC-2019-0022105,Sd,M,41,Sd
LC-2019-0022106,Sd,SD,SD,Sd
LC-2019-0022174,Sd,M,44,Sd
LC-2019-0022256,Sd,F,SD,Sd
LC-2019-0022273,Sd,M,41,Sd
LC-2019-0022275,Sd,F,54,Sd
LC-2019-0022298,Sd,F,67,Sd
LC-2019-0022348,Sd,F,74,Sd
LC-2019-0022492,Sd,F,64,Sd
LC-2019-0022559,Sd,M,34,Sd
LC-2019-0022606,Sd,F,36,Sd
LC-2019-0022650,Sd,F,25,Sd
LC-2019-0022670,Sd,F,35,Sd
LC-2019-0022774,Sd,M,SD,Sd
LC-2019-0022790,Sd,F,43,Sd
LC-2019-0023022,Sd,M,30,Sd
LC-2019-0023164,Sd,F,58,Sd
LC-2019-0023309,Sd,M,41,Sd
LC-2019-0023360,Sd,M,26,Sd
LC-2019-0023362,Sd,M,42,Sd
LC-2019-0023485,Sd,M,22,Sd
LC-2019-0023488,Sd,M,SD,Sd
LC-2019-0023539,Sd,M,SD,Sd
LC-2019-0023555,Sd,M,29,Sd
LC-2019-0023599,Sd,F,SD,Sd
LC-2019-0023727,Sd,M,36,Sd
LC-2019-0024103,Sd,M,45,Sd
LC-2019-0024454,Sd,M,23,Sd
LC-2019-0032150,Sd,M,25,Sd
LC-2019-0040263,Sd,F,SD,Sd
LC-2019-0687058,Sd,M,34,Sd
LC-2019-0688515,Sd,M,37,Sd
LC-2019-0023692,Sd,F,24,Sd
LC-2019-0023692,Sd,M,24,Sd
LC-2019-0023777,Sd,M,52,Sd
LC-2019-0023860,Sd,M,34,Sd
LC-2019-0023868,Sd,M,33,Sd
LC-2019-0023906,Sd,F,39,Sd
LC-2019-0023906,Sd,M,39,Sd
LC-2019-0023906,Sd,F,SD,Sd
LC-2019-0023906,Sd,M,27,Sd
LC-2019-0023906,Sd,M,31,Sd
LC-2019-0024132,Sd,M,SD,Sd
LC-2019-0024257,Sd,F,70,Sd
LC-2019-0024265,Sd,F,32,Sd
LC-2019-0024269,Sd,M,25,Sd
LC-2019-0024408,Sd,M,27,Sd
LC-2019-0024465,Sd,M,47,Sd
LC-2019-0024488,Sd,M,50,Sd
LC-2019-0024600,Sd,F,35,Sd
LC-2019-0024719,Sd,M,25,Sd
LC-2019-0024752,Sd,M,54,Sd
LC-2019-0024755,Sd,M,34,Sd
LC-2019-0024755,Sd,F,34,Sd
LC-2019-0024778,Sd,F,38,Sd
LC-2019-0025473,Sd,M,75,Sd
LC-2019-0033162,Sd,F,58,Sd
LC-2019-0267484,Sd,M,31,Sd
LC-2019-0757409,Sd,M,59,Sd
LC-2019-0024930,Sd,M,73,Sd
LC-2019-0025033,Sd,F,41,Sd
LC-2019-0025067,Sd,M,31,Sd
LC-2019-0025088,Sd,M,42,Sd
LC-2019-0025109,Sd,M,45,Sd
LC-2019-0025109,Sd,F,45,Sd
LC-2019-0025134,Sd,F,33,Sd
LC-2019-0025154,Sd,F,28,Sd
LC-2019-0025411,Sd,F,33,Sd
LC-2019-0025411,Sd,M,33,Sd
LC-2019-0025411,Sd,M,SD,Sd
LC-2019-0642028,Sd,M,20,Sd
LC-2019-0025428,Sd,F,41,Sd
LC-2019-0025548,Sd,M,21,Sd
LC-2019-0378357,Sd,M,37,Sd
LC-2019-0025730,Sd,M,64,Sd
LC-2019-0052617,Sd,M,36,Sd
LC-2019-0052617,Sd,F,36,Sd
LC-2019-0025021,Sd,M,74,Sd
LC-2019-0025831,Sd,M,21,Sd
LC-2019-0025831,Sd,F,21,Sd
LC-2019-0025841,Sd,F,48,Sd
LC-2019-0026116,Sd,M,SD,Sd
LC-2019-0026619,Sd,M,29,Sd
LC-2019-0026635,Sd,F,20,Sd
LC-2019-0026635,Sd,M,20,Sd
LC-2019-0027065,Sd,M,32,Sd
LC-2019-0027083,Sd,M,40,Sd
LC-2019-0027156,Sd,M,40,Sd
LC-2019-0027204,Sd,F,SD,Sd
LC-2019-0027208,Sd,M,SD,Sd
LC-2019-0027290,Sd,M,34,Sd
LC-2019-0027336,Sd,M,60,Sd
LC-2019-0027551,Sd,SD,SD,Sd
LC-2019-0027620,Sd,F,SD,Sd
LC-2019-0027679,Sd,F,SD,Sd
LC-2019-0027748,Sd,M,31,Sd
LC-2019-0027769,Sd,F,25,Sd
LC-2019-0027969,Sd,M,SD,Sd
LC-2019-0028124,Sd,F,SD,Sd
LC-2019-0028203,Sd,M,29,Sd
LC-2019-0028228,Sd,M,41,Sd
LC-2019-0028384,Sd,M,25,Sd
LC-2019-0028499,Sd,M,33,Sd
LC-2019-0028597,Sd,M,27,Sd
LC-2019-0028635,Sd,SD,SD,Sd
LC-2019-0028641,Sd,M,33,Sd
LC-2019-0028794,Sd,M,30,Sd
LC-2019-0030752,Sd,F,60,Sd
LC-2019-0033421,Sd,M,28,Sd
LC-2019-0028657,Sd,F,59,Sd
LC-2019-0028657,Sd,M,59,Sd
LC-2019-0028657,Sd,M,32,Sd
LC-2019-0028702,Sd,M,18,Sd
LC-2019-0028731,Sd,F,32,Sd
LC-2019-0304750,Sd,M,58,Sd
LC-2019-0028731,Sd,F,7,Sd
LC-2019-0028796,Sd,M,40,Sd
LC-2019-0029010,Sd,M,40,Sd
LC-2019-0029065,Sd,F,SD,Sd
LC-2019-0193078,Sd,F,62,Sd
LC-2019-0029336,Sd,M,67,Sd
LC-2019-0029346,Sd,M,44,Sd
LC-2019-0029347,Sd,M,62,Sd
LC-2019-0029367,Sd,SD,SD,Sd
LC-2019-0029566,Sd,M,32,Sd
LC-2019-0030128,Sd,F,22,Sd
LC-2019-0030272,Sd,F,57,Sd
LC-2019-0030300,Sd,SD,SD,Sd
LC-2019-0030352,Sd,M,50,Sd
LC-2019-0221536,Sd,F,SD,Sd
LC-2019-0030566,Sd,M,63,Sd
LC-2019-0030574,Sd,F,SD,Sd
LC-2019-0030658,Sd,F,33,Sd
LC-2019-0030786,Sd,F,29,Sd
LC-2019-0030792,Sd,M,27,Sd
LC-2019-0030793,Sd,M,SD,Sd
LC-2019-0030858,Sd,SD,SD,Sd
LC-2019-0035369,Sd,M,40,Sd
LC-2019-0031071,Sd,M,41,Sd
LC-2019-0031424,Sd,M,26,Sd
LC-2019-0031634,Sd,M,39,Sd
LC-2019-0031641,Sd,M,SD,Sd
LC-2019-0032487,Sd,F,40,Sd
LC-2019-0032605,Sd,M,42,Sd
LC-2019-0032607,Sd,M,51,Sd
LC-2019-0032657,Sd,M,27,Sd
LC-2019-0032834,Sd,M,34,Sd
LC-2019-0032903,Sd,M,26,Sd
LC-2019-0033174,Sd,M,23,Sd
LC-2019-0033180,Sd,F,23,Sd
LC-2019-0033263,Sd,M,34,Sd
LC-2019-0033333,Sd,M,35,Sd
LC-2019-0033368,Sd,F,SD,Sd
LC-2019-0033399,Sd,F,SD,Sd
LC-2019-0033412,Sd,F,66,Sd
LC-2019-0033440,Sd,F,6,Sd
LC-2019-0033459,Sd,M,45,Sd
LC-2019-0033489,Sd,M,22,Sd
LC-2019-0033593,Sd,M,24,Sd
LC-2019-0037717,Sd,F,29,Sd
LC-2019-0043540,Sd,F,SD,Sd
LC-2019-0033646,Sd,F,SD,Sd
LC-2019-0033821,Sd,F,SD,Sd
LC-2019-0033845,Sd,M,28,Sd
LC-2019-0034229,Sd,M,SD,Sd
LC-2019-0034601,Sd,M,66,Sd
LC-2019-0034710,Sd,F,29,Sd
